DATE_DT,DATE_CODE,DAY_CODE,DATE_DESC,DAY_DESC,WEEK_CODE,WEEK_DESC,MONTH_CODE,MONTH_DESC,YEAR_CODE,QUARTER_CODE,HALF_CODE
2011-01-01,20110101,1,01 January 2011,Saturday ,201052,52,201101,January  ,2011,20111,20111
2011-01-02,20110102,2,02 January 2011,Sunday   ,201052,52,201101,January  ,2011,20111,20111
2011-01-03,20110103,3,03 January 2011,Monday   ,201101,1,201101,January  ,2011,20111,20111
2011-01-04,20110104,4,04 January 2011,Tuesday  ,201101,1,201101,January  ,2011,20111,20111
2011-01-05,20110105,5,05 January 2011,Wednesday,201101,1,201101,January  ,2011,20111,20111
2011-01-06,20110106,6,06 January 2011,Thursday ,201101,1,201101,January  ,2011,20111,20111
2011-01-07,20110107,7,07 January 2011,Friday   ,201101,1,201101,January  ,2011,20111,20111
2011-01-08,20110108,8,08 January 2011,Saturday ,201101,1,201101,January  ,2011,20111,20111
2011-01-09,20110109,9,09 January 2011,Sunday   ,201101,1,201101,January  ,2011,20111,20111
2011-01-10,20110110,10,10 January 2011,Monday   ,201102,2,201101,January  ,2011,20111,20111
2011-01-11,20110111,11,11 January 2011,Tuesday  ,201102,2,201101,January  ,2011,20111,20111
2011-01-12,20110112,12,12 January 2011,Wednesday,201102,2,201101,January  ,2011,20111,20111
2011-01-13,20110113,13,13 January 2011,Thursday ,201102,2,201101,January  ,2011,20111,20111
2011-01-14,20110114,14,14 January 2011,Friday   ,201102,2,201101,January  ,2011,20111,20111
2011-01-15,20110115,15,15 January 2011,Saturday ,201102,2,201101,January  ,2011,20111,20111
2011-01-16,20110116,16,16 January 2011,Sunday   ,201102,2,201101,January  ,2011,20111,20111
2011-01-17,20110117,17,17 January 2011,Monday   ,201103,3,201101,January  ,2011,20111,20111
2011-01-18,20110118,18,18 January 2011,Tuesday  ,201103,3,201101,January  ,2011,20111,20111
2011-01-19,20110119,19,19 January 2011,Wednesday,201103,3,201101,January  ,2011,20111,20111
2011-01-20,20110120,20,20 January 2011,Thursday ,201103,3,201101,January  ,2011,20111,20111
2011-01-21,20110121,21,21 January 2011,Friday   ,201103,3,201101,January  ,2011,20111,20111
2011-01-22,20110122,22,22 January 2011,Saturday ,201103,3,201101,January  ,2011,20111,20111
2011-01-23,20110123,23,23 January 2011,Sunday   ,201103,3,201101,January  ,2011,20111,20111
2011-01-24,20110124,24,24 January 2011,Monday   ,201104,4,201101,January  ,2011,20111,20111
2011-01-25,20110125,25,25 January 2011,Tuesday  ,201104,4,201101,January  ,2011,20111,20111
2011-01-26,20110126,26,26 January 2011,Wednesday,201104,4,201101,January  ,2011,20111,20111
2011-01-27,20110127,27,27 January 2011,Thursday ,201104,4,201101,January  ,2011,20111,20111
2011-01-28,20110128,28,28 January 2011,Friday   ,201104,4,201101,January  ,2011,20111,20111
2011-01-29,20110129,29,29 January 2011,Saturday ,201104,4,201101,January  ,2011,20111,20111
2011-01-30,20110130,30,30 January 2011,Sunday   ,201104,4,201101,January  ,2011,20111,20111
2011-01-31,20110131,31,31 January 2011,Monday   ,201105,5,201101,January  ,2011,20111,20111
2011-02-01,20110201,1,01 February 2011,Tuesday  ,201105,5,201102,February ,2011,20111,20111
2011-02-02,20110202,2,02 February 2011,Wednesday,201105,5,201102,February ,2011,20111,20111
2011-02-03,20110203,3,03 February 2011,Thursday ,201105,5,201102,February ,2011,20111,20111
2011-02-04,20110204,4,04 February 2011,Friday   ,201105,5,201102,February ,2011,20111,20111
2011-02-05,20110205,5,05 February 2011,Saturday ,201105,5,201102,February ,2011,20111,20111
2011-02-06,20110206,6,06 February 2011,Sunday   ,201105,5,201102,February ,2011,20111,20111
2011-02-07,20110207,7,07 February 2011,Monday   ,201106,6,201102,February ,2011,20111,20111
2011-02-08,20110208,8,08 February 2011,Tuesday  ,201106,6,201102,February ,2011,20111,20111
2011-02-09,20110209,9,09 February 2011,Wednesday,201106,6,201102,February ,2011,20111,20111
2011-02-10,20110210,10,10 February 2011,Thursday ,201106,6,201102,February ,2011,20111,20111
2011-02-11,20110211,11,11 February 2011,Friday   ,201106,6,201102,February ,2011,20111,20111
2011-02-12,20110212,12,12 February 2011,Saturday ,201106,6,201102,February ,2011,20111,20111
2011-02-13,20110213,13,13 February 2011,Sunday   ,201106,6,201102,February ,2011,20111,20111
2011-02-14,20110214,14,14 February 2011,Monday   ,201107,7,201102,February ,2011,20111,20111
2011-02-15,20110215,15,15 February 2011,Tuesday  ,201107,7,201102,February ,2011,20111,20111
2011-02-16,20110216,16,16 February 2011,Wednesday,201107,7,201102,February ,2011,20111,20111
2011-02-17,20110217,17,17 February 2011,Thursday ,201107,7,201102,February ,2011,20111,20111
