RETURNED_FLAG,ORDER_COD,PRODUCT_COD
true,MX-2014-154571,FUR-BO-10000002
true,US-2014-118612,FUR-BO-10000038
true,ES-2014-5385720,FUR-BO-10000071
true,ES-2011-5032747,FUR-BO-10000148
true,US-2014-125626,FUR-BO-10000175
true,ID-2014-25707,FUR-BO-10000195
true,IN-2013-59160,FUR-BO-10000203
true,ES-2012-1382586,FUR-BO-10000208
true,IN-2012-29228,FUR-BO-10000210
true,US-2012-146801,FUR-BO-10000210
true,MX-2013-160948,FUR-BO-10000243
true,MX-2014-131366,FUR-BO-10000259
true,ID-2011-24160,FUR-BO-10000311
true,CA-2012-130785,FUR-BO-10000330
true,US-2011-121636,FUR-BO-10000490
true,MX-2014-148509,FUR-BO-10000636
true,MX-2013-147844,FUR-BO-10000668
true,MX-2013-111500,FUR-BO-10000712
true,US-2013-130239,FUR-BO-10000791
true,ID-2012-28255,FUR-BO-10000892
true,ES-2011-1276768,FUR-BO-10000895
true,ID-2014-41191,FUR-BO-10001003
true,MX-2011-141467,FUR-BO-10001003
true,ES-2014-2411166,FUR-BO-10001255
true,IN-2013-65068,FUR-BO-10001271
true,ES-2014-1015287,FUR-BO-10001276
true,CA-2011-166744,FUR-BO-10001337
true,ES-2014-4535588,FUR-BO-10001342
true,US-2011-144673,FUR-BO-10001342
true,US-2011-125395,FUR-BO-10001358
true,IN-2012-44509,FUR-BO-10001621
true,ES-2012-5923089,FUR-BO-10001679
true,ID-2013-78795,FUR-BO-10001708
true,ES-2013-3061639,FUR-BO-10001749
true,ID-2011-78592,FUR-BO-10001822
true,IN-2014-54708,FUR-BO-10001822
true,IT-2013-2720003,FUR-BO-10001874
true,ES-2013-4650117,FUR-BO-10001888
true,IN-2014-71956,FUR-BO-10001969
true,MX-2014-169887,FUR-BO-10001969
true,IN-2014-43410,FUR-BO-10002444
true,ES-2013-3093926,FUR-BO-10002510
true,ES-2012-2212320,FUR-BO-10002738
true,MX-2014-162075,FUR-BO-10003185
true,CA-2012-130456,FUR-BO-10003893
true,CA-2011-111871,FUR-BO-10004218
true,IN-2012-85935,FUR-CH-10000042
true,IN-2011-25070,FUR-CH-10000051
true,US-2014-104010,FUR-CH-10000051
true,MX-2013-110135,FUR-CH-10000068
true,IN-2014-28640,FUR-CH-10000068
true,US-2014-167178,FUR-CH-10000068
true,ID-2011-33295,FUR-CH-10000089
true,US-2014-103170,FUR-CH-10000105
true,MX-2014-127733,FUR-CH-10000105
true,IN-2011-52125,FUR-CH-10000110
true,US-2011-158442,FUR-CH-10000110
true,ES-2013-1835691,FUR-CH-10000117
true,ES-2012-4250639,FUR-CH-10000117
true,MX-2013-117415,FUR-CH-10000136
true,IN-2014-17027,FUR-CH-10000171
true,IN-2012-36088,FUR-CH-10000171
true,IN-2013-64977,FUR-CH-10000182
true,IT-2013-3159247,FUR-CH-10000187
true,IT-2013-4864604,FUR-CH-10000187
true,IN-2014-11637,FUR-CH-10000213
true,IN-2012-10986,FUR-CH-10000214
true,CA-2011-157924,FUR-CH-10000229
true,MX-2012-149454,FUR-CH-10000326
true,ES-2014-3380674,FUR-CH-10000326
true,MX-2014-138233,FUR-CH-10000343
true,IN-2014-15676,FUR-CH-10000391
true,IN-2014-77941,FUR-CH-10000430
true,ES-2013-1785128,FUR-CH-10000470
true,IN-2012-35990,FUR-CH-10000488
true,US-2014-146080,FUR-CH-10000528
true,MX-2014-126221,FUR-CH-10000608
true,IN-2014-43039,FUR-CH-10000656
true,MX-2013-111073,FUR-CH-10000666
true,MX-2013-159100,FUR-CH-10000690
true,CA-2012-168564,FUR-CH-10000785
true,IN-2011-64361,FUR-CH-10000788
true,CA-2013-105081,FUR-CH-10000847
true,CA-2013-120873,FUR-CH-10000847
true,US-2014-152744,FUR-CH-10000885
true,MX-2011-136546,FUR-CH-10000966
true,CA-2011-105270,FUR-CH-10000988
true,IT-2014-2277753,FUR-CH-10001039
true,IN-2014-69205,FUR-CH-10001039
true,ES-2011-5201850,FUR-CH-10001130
true,CA-2013-162159,FUR-CH-10001146
true,ES-2014-1193193,FUR-CH-10001153
true,US-2013-162068,FUR-CH-10001203
true,MX-2012-109134,FUR-CH-10001204
true,IN-2011-38965,FUR-CH-10001343
true,IT-2011-4812190,FUR-CH-10001429
true,US-2011-163860,FUR-CH-10001536
true,MX-2013-128027,FUR-CH-10001582
true,IN-2013-12715,FUR-CH-10001634
true,ES-2011-1141056,FUR-CH-10001675
true,US-2012-157224,FUR-CH-10001684
true,MX-2012-104269,FUR-CH-10001784
true,ID-2011-59293,FUR-CH-10002152
true,IN-2013-59454,FUR-CH-10002209
true,ID-2014-35374,FUR-CH-10002297
true,IN-2012-27597,FUR-CH-10002374
true,IT-2013-4962578,FUR-CH-10002417
true,IN-2013-25245,FUR-CH-10002417
true,IN-2013-25112,FUR-CH-10002435
true,IN-2013-13786,FUR-CH-10002727
true,MX-2013-153094,FUR-CH-10002727
true,MX-2014-141922,FUR-CH-10002752
true,CA-2012-113628,FUR-CH-10003298
true,CA-2012-154970,FUR-CH-10003396
true,MX-2012-153325,FUR-CH-10003514
true,CA-2012-110814,FUR-CH-10003535
true,US-2011-167787,FUR-CH-10003540
true,CA-2014-137428,FUR-CH-10003817
true,US-2013-114293,FUR-CH-10003833
true,CA-2012-149650,FUR-CH-10003956
true,CA-2014-123085,FUR-CH-10003968
true,CA-2012-161627,FUR-CH-10003968
true,IN-2012-69870,FUR-CH-10004196
true,CA-2013-113341,FUR-CH-10004698
true,CA-2013-118899,FUR-CH-10004754
true,CA-2013-148796,FUR-CH-10004886
true,CA-2013-116547,FUR-FU-10000076
true,US-2014-143441,FUR-FU-10000142
true,MX-2014-114545,FUR-FU-10000142
true,CA-2014-154214,FUR-FU-10000206
true,ES-2011-4816650,FUR-FU-10000225
true,IN-2014-58607,FUR-FU-10000225
true,IN-2012-69044,FUR-FU-10000225
true,CA-2014-145128,FUR-FU-10000293
true,ID-2012-44173,FUR-FU-10000339
true,MX-2012-105662,FUR-FU-10000339
true,IN-2011-35857,FUR-FU-10000350
true,IN-2014-29767,FUR-FU-10000388
true,ES-2014-1873734,FUR-FU-10000481
true,MX-2014-134222,FUR-FU-10000483
true,IN-2013-14409,FUR-FU-10000483
true,ID-2011-20975,FUR-FU-10000488
true,CA-2013-115917,FUR-FU-10000576
true,ES-2014-2385129,FUR-FU-10000605
true,IT-2011-2861112,FUR-FU-10000674
true,CA-2014-121258,FUR-FU-10000747
true,US-2012-136749,FUR-FU-10000747
true,ES-2014-2042578,FUR-FU-10000816
true,IN-2012-78865,FUR-FU-10000850
true,ES-2014-2504689,FUR-FU-10000885
true,MX-2014-158589,FUR-FU-10000936
true,US-2013-159660,FUR-FU-10001130
true,IN-2014-30649,FUR-FU-10001351
true,MX-2014-117240,FUR-FU-10001351
true,ES-2011-5263174,FUR-FU-10001438
true,CA-2012-105158,FUR-FU-10001706
true,CA-2014-101574,FUR-FU-10001706
true,US-2014-118087,FUR-FU-10001867
true,CA-2011-102652,FUR-FU-10001918
true,CA-2012-114048,FUR-FU-10001940
true,CA-2013-130638,FUR-FU-10002116
true,IN-2011-56738,FUR-FU-10002210
true,CA-2011-124688,FUR-FU-10002456
true,IN-2013-27828,FUR-FU-10002614
true,ID-2011-27779,FUR-FU-10002614
true,CA-2012-149342,FUR-FU-10002937
true,US-2011-138758,FUR-FU-10003039
true,ES-2012-1721838,FUR-FU-10003325
true,CA-2013-133368,FUR-FU-10003374
true,CA-2014-140053,FUR-FU-10003708
true,CA-2012-156440,FUR-FU-10004090
true,CA-2012-123568,FUR-FU-10004090
true,CA-2014-130631,FUR-FU-10004093
true,CA-2012-134075,FUR-FU-10004597
true,CA-2014-161557,FUR-FU-10004622
true,CA-2013-157280,FUR-FU-10004665
true,US-2014-105046,FUR-FU-10004848
true,MX-2011-147039,FUR-TA-10000317
true,ES-2012-5645358,FUR-TA-10000591
true,CA-2011-135657,FUR-TA-10001039
true,CA-2014-109085,FUR-TA-10001086
true,CA-2014-167003,FUR-TA-10001520
true,CA-2014-117513,FUR-TA-10001520
true,CA-2013-126732,FUR-TA-10001539
true,US-2014-123834,FUR-TA-10001676
true,ES-2011-4359424,FUR-TA-10001693
true,CA-2012-141593,FUR-TA-10002622
true,US-2012-126214,FUR-TA-10003748
true,CA-2011-159338,FUR-TA-10004147
true,CA-2011-133690,FUR-TA-10004289
true,CA-2014-166142,FUR-TA-10004607
true,CA-2014-142888,FUR-TA-10004767
true,CA-2011-108609,FUR-TA-10004915
true,CA-2012-101910,FUR-TA-10004915
true,ID-2014-56752,OFF-AP-10000003
true,US-2013-167129,OFF-AP-10000023
true,ID-2014-16474,OFF-AP-10000119
true,ES-2014-2933395,OFF-AP-10000136
true,US-2012-148880,OFF-AP-10000136
true,CA-2013-106950,OFF-AP-10000159
true,IT-2014-5465876,OFF-AP-10000162
true,ES-2014-2783426,OFF-AP-10000263
true,ES-2012-1211902,OFF-AP-10000330
true,IN-2012-69072,OFF-AP-10000335
true,ES-2013-3927096,OFF-AP-10000344
true,CA-2014-122007,OFF-AP-10000358
true,IT-2013-4869515,OFF-AP-10000382
true,US-2013-144057,OFF-AP-10000390
true,MX-2013-115805,OFF-AP-10000407
true,MX-2013-135916,OFF-AP-10000667
true,IN-2014-58460,OFF-AP-10000675
true,MX-2012-111178,OFF-AP-10000675
true,CA-2014-132346,OFF-AP-10000696
true,ES-2013-4184078,OFF-AP-10000802
true,CA-2014-101273,OFF-AP-10000804
true,MX-2012-119907,OFF-AP-10000900
true,MX-2014-103149,OFF-AP-10000916
true,US-2014-160745,OFF-AP-10000934
true,IT-2014-5517515,OFF-AP-10001138
true,IT-2012-3613157,OFF-AP-10001191
true,ID-2011-50655,OFF-AP-10001233
true,IN-2011-40568,OFF-AP-10001233
true,CA-2014-161956,OFF-AP-10001242
true,IN-2011-36074,OFF-AP-10001254
true,MX-2012-159646,OFF-AP-10001298
true,CA-2013-138282,OFF-AP-10001366
true,CA-2014-169327,OFF-AP-10001492
true,IN-2012-80370,OFF-AP-10001565
true,IN-2014-14003,OFF-AP-10001776
true,MX-2012-166730,OFF-AP-10001847
